line,col,seq,par,absdiff
43,5,28.897385,28.633632,0.26375300000000124
115,5,-115.368898,-115.628648,0.2597499999999968
136,5,-85.117241,-84.85967,0.2575710000000129
152,5,-85.117241,-84.85967,0.2575710000000129
15,5,34.786156,35.040836,0.25468000000000046
31,5,34.786156,35.040836,0.25468000000000046
104,5,-88.649641,-88.401563,0.24807800000000668
54,5,-202.56444,-202.806315,0.2418750000000216
129,5,-148.170118,-147.929395,0.24072300000000268
130,5,-148.170118,-147.929395,0.24072300000000268
145,5,-148.170118,-147.929395,0.24072300000000268
146,5,-148.170118,-147.929395,0.24072300000000268
93,5,-59.159018,-59.392993,0.23397499999999383
78,5,-8.970305,-8.748261,0.22204400000000035
141,5,-82.291353,-82.510467,0.2191140000000047
157,5,-82.291353,-82.510467,0.2191140000000047
89,5,-32.935556,-33.151173,0.21561700000000172
81,5,-182.571942,-182.786721,0.21477899999999295
82,5,-182.571942,-182.786721,0.21477899999999295
118,5,-148.17052,-148.379844,0.20932399999998097
57,5,-55.781454,-55.990073,0.20861900000000588
58,5,-16.184497,-16.391486,0.2069890000000001
101,5,-198.641294,-198.438597,0.20269700000000057
134,5,-136.759207,-136.958987,0.19978000000000407
150,5,-136.759207,-136.958987,0.19978000000000407
62,5,24.198951,24.390588,0.19163700000000006
38,5,-227.222578,-227.410268,0.18769000000000347
126,5,-55.272271,-55.449983,0.17771199999999965
137,5,-2.282429,-2.458016,0.17558700000000016
153,5,-2.282429,-2.458016,0.17558700000000016
88,5,-108.119411,-107.94434,0.17507100000000264
113,5,-128.210305,-128.035629,0.17467600000000516
114,5,-128.210305,-128.035629,0.17467600000000516
94,5,-31.7868,-31.614102,0.17269800000000046
12,5,78.580936,78.41137,0.169565999999989
28,5,78.580936,78.41137,0.169565999999989
67,5,-206.749005,-206.581391,0.16761400000001458
75,5,-36.579366,-36.413111,0.1662549999999996
14,5,82.374677,82.218192,0.15648500000000354
30,5,82.374677,82.218192,0.15648500000000354
5,5,-254.270006,-254.421306,0.151299999999992
21,5,-254.270006,-254.421306,0.151299999999992
69,5,-203.991061,-204.138593,0.147531999999984
42,5,-19.98514,-19.840511,0.1446290000000019
60,5,14.157689,14.292044,0.1343550000000011
105,5,-18.514297,-18.647622,0.13332499999999925
56,5,-123.376294,-123.506029,0.1297349999999966
51,5,-230.239476,-230.111327,0.12814900000000762
102,5,-176.504801,-176.630261,0.1254600000000039
116,5,-138.609167,-138.734257,0.12509000000000015
11,5,9.64001,9.760865,0.1208550000000006
27,5,9.64001,9.760865,0.1208550000000006
121,5,-2.423704,-2.542283,0.11857899999999999
140,5,-126.368614,-126.256111,0.11250299999998958
156,5,-126.368614,-126.256111,0.11250299999998958
6,5,-196.759017,-196.85778,0.09876299999999105
22,5,-196.759017,-196.85778,0.09876299999999105
10,5,-26.150804,-26.248197,0.09739300000000028
26,5,-26.150804,-26.248197,0.09739300000000028
70,5,-179.520672,-179.615045,0.09437300000001869
46,5,47.210126,47.302808,0.09268199999999638
39,5,-177.507008,-177.596522,0.08951399999997989
99,5,-137.615156,-137.704646,0.08948999999998364
55,5,-173.504556,-173.587506,0.08294999999998254
8,5,-95.887805,-95.968906,0.08110100000000386
24,5,-95.887805,-95.968906,0.08110100000000386
41,5,-38.334806,-38.415874,0.08106800000000192
103,5,-141.23931,-141.319411,0.0801010000000133
92,5,-72.93164,-72.858422,0.07321799999999712
76,5,-42.252801,-42.183023,0.06977799999999945
108,5,-98.808676,-98.744779,0.06389700000001142
135,5,-133.633372,-133.5705,0.0628719999999987
151,5,-133.633372,-133.5705,0.0628719999999987
48,5,68.314757,68.253856,0.060901000000001204
59,5,-4.781893,-4.836433,0.054540000000000255
119,5,-133.517786,-133.572194,0.05440799999999513
145,7,0.0,0.05,0.05
97,5,-146.907862,-146.95698,0.04911799999999289
98,5,-146.907862,-146.95698,0.04911799999999289
72,5,-127.763469,-127.716353,0.0471160000000026
85,5,-211.781862,-211.737311,0.04455099999998424
83,5,-184.295778,-184.251622,0.04415600000001518
112,5,57.648061,57.6043,0.043760999999996386
132,5,-166.114382,-166.157849,0.043466999999992595
148,5,-166.114382,-166.157849,0.043466999999992595
44,5,58.204748,58.242397,0.037648999999994714
35,5,-266.235096,-266.271579,0.03648299999997562
124,5,-118.891039,-118.863938,0.027101000000001818
86,5,-186.21489,-186.239102,0.024212000000005673
111,5,6.915374,6.891495,0.023878999999999984
47,5,57.762441,57.778332,0.015890999999996325
71,5,-159.045757,-159.059166,0.013408999999995785
87,5,-150.427455,-150.438437,0.010981999999984282
34,3,0.212394,0.218993,0.006598999999999994
9,5,-49.826626,-49.820846,0.005779999999994345
25,5,-49.826626,-49.820846,0.005779999999994345
50,3,0.260858,0.265637,0.004779000000000033
3,4,0.216717,0.212369,0.004347999999999991
19,4,0.216717,0.212369,0.004347999999999991
110,5,-43.817314,-43.821311,0.003996999999998252
