itc_max: 800000, nc: 1, n_tr: 10, n_out: 100, n_vort: 100
beta: 1300.000000, b_art: 0.000000, dtau_f: 1000000.000000, final_time: 1.000000,
eps: 0.000100, eps_mass: 0.000100, start_mode: 0
[ITER 25][CUDA] kernel_solve_U = 835.873230 ms
[ITER 25][CUDA] kernel_solve_V = 853.777344 ms
[ITER 25][CUDA] kernel_solve_P = 97.837074 ms
[ITER 25][CUDA] kernel_solve_Z = 301.293610 ms
[ITER 25][CUDA] kernel_solve_C = 315.321655 ms
[ITER 25][CUDA] H2D = 0.000000 ms
[ITER 25][CUDA] D2H = 0.000000 ms
[ITER 25][CUDA] timestep_total = 2449.294434 ms
[ITER 26][CUDA] kernel_solve_U = 1298.601318 ms
[ITER 26][CUDA] kernel_solve_V = 1326.384277 ms
[ITER 26][CUDA] kernel_solve_P = 152.025787 ms
[ITER 26][CUDA] kernel_solve_Z = 468.130524 ms
[ITER 26][CUDA] kernel_solve_C = 490.042542 ms
[ITER 26][CUDA] H2D = 0.000000 ms
[ITER 26][CUDA] D2H = 0.000000 ms
[ITER 26][CUDA] timestep_total = 3805.293457 ms
[ITER 27][CUDA] kernel_solve_U = 461.305511 ms
[ITER 27][CUDA] kernel_solve_V = 471.261627 ms
[ITER 27][CUDA] kernel_solve_P = 54.070534 ms
[ITER 27][CUDA] kernel_solve_Z = 166.522247 ms
[ITER 27][CUDA] kernel_solve_C = 174.123383 ms
[ITER 27][CUDA] H2D = 0.000000 ms
[ITER 27][CUDA] D2H = 0.000000 ms
[ITER 27][CUDA] timestep_total = 1352.240112 ms
[ITER 28][CUDA] kernel_solve_U = 1839.403442 ms
[ITER 28][CUDA] kernel_solve_V = 1878.775879 ms
[ITER 28][CUDA] kernel_solve_P = 215.210815 ms
[ITER 28][CUDA] kernel_solve_Z = 663.281982 ms
[ITER 28][CUDA] kernel_solve_C = 693.937317 ms
[ITER 28][CUDA] H2D = 0.000000 ms
[ITER 28][CUDA] D2H = 0.000000 ms
[ITER 28][CUDA] timestep_total = 5390.225098 ms
[ITER 29][CUDA] kernel_solve_U = 290.889832 ms
[ITER 29][CUDA] kernel_solve_V = 297.090790 ms
[ITER 29][CUDA] kernel_solve_P = 34.090771 ms
[ITER 29][CUDA] kernel_solve_Z = 104.851334 ms
[ITER 29][CUDA] kernel_solve_C = 109.732178 ms
[ITER 29][CUDA] H2D = 0.000000 ms
[ITER 29][CUDA] D2H = 0.000000 ms
[ITER 29][CUDA] timestep_total = 852.372620 ms
[ITER 30][CUDA] kernel_solve_U = 963.651733 ms
[ITER 30][CUDA] kernel_solve_V = 984.549011 ms
[ITER 30][CUDA] kernel_solve_P = 112.785378 ms
[ITER 30][CUDA] kernel_solve_Z = 347.449982 ms
[ITER 30][CUDA] kernel_solve_C = 363.605225 ms
[ITER 30][CUDA] H2D = 0.000000 ms
[ITER 30][CUDA] D2H = 0.000000 ms
[ITER 30][CUDA] timestep_total = 2824.177490 ms
[ITER 31][CUDA] kernel_solve_U = 1496.382446 ms
[ITER 31][CUDA] kernel_solve_V = 1529.039185 ms
[ITER 31][CUDA] kernel_solve_P = 175.125702 ms
[ITER 31][CUDA] kernel_solve_Z = 539.457275 ms
[ITER 31][CUDA] kernel_solve_C = 564.759094 ms
[ITER 31][CUDA] H2D = 0.000000 ms
[ITER 31][CUDA] D2H = 0.000000 ms
[ITER 31][CUDA] timestep_total = 4385.728027 ms
[ITER 32][CUDA] kernel_solve_U = 473.264557 ms
[ITER 32][CUDA] kernel_solve_V = 483.398743 ms
[ITER 32][CUDA] kernel_solve_P = 55.508698 ms
[ITER 32][CUDA] kernel_solve_Z = 170.792191 ms
[ITER 32][CUDA] kernel_solve_C = 178.717819 ms
[ITER 32][CUDA] H2D = 0.000000 ms
[ITER 32][CUDA] D2H = 0.000000 ms
[ITER 32][CUDA] timestep_total = 1387.245605 ms
[ITER 33][CUDA] kernel_solve_U = 1452.343262 ms
[ITER 33][CUDA] kernel_solve_V = 1483.570435 ms
[ITER 33][CUDA] kernel_solve_P = 170.211777 ms
[ITER 33][CUDA] kernel_solve_Z = 523.878784 ms
[ITER 33][CUDA] kernel_solve_C = 547.992676 ms
[ITER 33][CUDA] H2D = 0.000000 ms
[ITER 33][CUDA] D2H = 0.000000 ms
[ITER 33][CUDA] timestep_total = 4256.562988 ms
[ITER 34][CUDA] kernel_solve_U = 901.993103 ms
[ITER 34][CUDA] kernel_solve_V = 921.246155 ms
[ITER 34][CUDA] kernel_solve_P = 105.526070 ms
[ITER 34][CUDA] kernel_solve_Z = 325.102295 ms
[ITER 34][CUDA] kernel_solve_C = 340.283569 ms
[ITER 34][CUDA] H2D = 0.000000 ms
[ITER 34][CUDA] D2H = 0.000000 ms
[ITER 34][CUDA] timestep_total = 2642.931885 ms
[ITER 35][CUDA] kernel_solve_U = 1289.261108 ms
[ITER 35][CUDA] kernel_solve_V = 1316.384888 ms
[ITER 35][CUDA] kernel_solve_P = 150.932343 ms
[ITER 35][CUDA] kernel_solve_Z = 464.512177 ms
[ITER 35][CUDA] kernel_solve_C = 486.242798 ms
[ITER 35][CUDA] H2D = 0.000000 ms
[ITER 35][CUDA] D2H = 0.000000 ms
[ITER 35][CUDA] timestep_total = 3776.970703 ms
[ITER 36][CUDA] kernel_solve_U = 1068.054565 ms
[ITER 36][CUDA] kernel_solve_V = 1090.582275 ms
[ITER 36][CUDA] kernel_solve_P = 125.373566 ms
[ITER 36][CUDA] kernel_solve_Z = 385.111389 ms
[ITER 36][CUDA] kernel_solve_C = 402.970856 ms
[ITER 36][CUDA] H2D = 0.000000 ms
[ITER 36][CUDA] D2H = 0.000000 ms
[ITER 36][CUDA] timestep_total = 3129.957520 ms
[ITER 37][CUDA] kernel_solve_U = 5790.879395 ms
[ITER 37][CUDA] kernel_solve_V = 5914.765137 ms
[ITER 37][CUDA] kernel_solve_P = 678.205444 ms
[ITER 37][CUDA] kernel_solve_Z = 2087.876709 ms
[ITER 37][CUDA] kernel_solve_C = 2184.923584 ms
[ITER 37][CUDA] H2D = 0.000000 ms
