-6.000000 13.795245 0.000000 -nan -nan -nan -nan
-6.000000 13.868397 0.000000 -nan -nan -nan -nan
-6.000000 13.941673 0.000000 -nan -nan -nan -nan
-6.000000 14.015072 0.000000 -nan -nan -nan -nan
-6.000000 14.088594 0.000000 -nan -nan -nan -nan
-6.000000 14.162239 0.000000 -nan -nan -nan -nan
-6.000000 14.236006 0.000000 -nan -nan -nan -nan
-6.000000 14.309895 0.000000 -nan -nan -nan -nan
-6.000000 14.383905 0.000000 -nan -nan -nan -nan
-6.000000 14.458035 0.000000 -nan -nan -nan -nan
-6.000000 14.532286 0.000000 -nan -nan -nan -nan
-6.000000 14.606657 0.000000 -nan -nan -nan -nan
-6.000000 14.681148 0.000000 -nan -nan -nan -nan
-6.000000 14.755757 0.000000 -nan -nan -nan -nan
-6.000000 14.830485 0.000000 -nan -nan -nan -nan
-6.000000 14.905332 0.000000 -nan 0.000000 0.000000 0.000000
-6.000000 14.980296 0.000000 -nan -nan -nan -nan
-5.940887 -4.205221 0.000000 0.500000 307.233713 1.000000 0.000000
-5.940887 -4.152478 -nan -nan 307.233713 -nan -nan
-5.940887 -4.099841 -nan -nan 307.229757 -nan -nan
-5.940887 -4.047308 -nan -nan 307.225572 -nan -nan
-5.940887 -3.994878 -nan -nan 307.221053 -nan -nan
-5.940887 -3.942550 -nan -nan 307.216197 -nan -nan
-5.940887 -3.890324 -nan -nan 307.211001 -nan -nan
-5.940887 -3.838198 -nan -nan 307.205466 -nan -nan
-5.940887 -3.786171 -nan -nan 307.199591 -nan -nan
-5.940887 -3.734242 -nan -nan 307.193377 -nan -nan
-5.940887 -3.682411 -nan -nan 307.186825 -nan -nan
-5.940887 -3.630677 -nan -nan 307.179939 -nan -nan
-5.940887 -3.579037 -nan -nan 307.172720 -nan -nan
-5.940887 -3.527492 -nan -nan 307.165171 -nan -nan
-5.940887 -3.476040 -nan -nan 307.157294 -nan -nan
-5.940887 -3.424681 -nan -nan 307.149089 -nan -nan
-5.940887 -3.373412 -nan -nan 307.140558 -nan -nan
-5.940887 -3.322234 -nan -nan 307.131702 -nan -nan
-5.940887 -3.271145 -nan -nan 307.122519 -nan -nan
-5.940887 -3.220143 -nan -nan 307.113012 -nan -nan
-5.940887 -3.169228 -nan -nan 307.103179 -nan -nan
-5.940887 -3.118399 -nan -nan 307.093021 -nan -nan
-5.940887 -3.067655 -nan -nan 307.082539 -nan -nan
-5.940887 -3.016994 -nan -nan 307.071733 -nan -nan
-5.940887 -2.966416 -nan -nan 307.060604 -nan -nan
-5.940887 -2.915918 -nan -nan 307.049152 -nan -nan
-5.940887 -2.865501 -nan -nan 307.037379 -nan -nan
-5.940887 -2.815162 -nan -nan 307.025286 -nan -nan
-5.940887 -2.764901 -nan -nan 307.012874 -nan -nan
-5.940887 -2.714717 -nan -nan 307.000145 -nan -nan
-5.940887 -2.664607 -nan -nan 306.987101 -nan -nan
-5.940887 -2.614572 -nan -nan 306.973742 -nan -nan
-5.940887 -2.564610 -nan -nan 306.960070 -nan -nan
-5.940887 -2.514719 -nan -nan 306.946089 -nan -nan
-5.940887 -2.464899 -nan -nan 306.931799 -nan -nan
-5.940887 -2.415148 -nan -nan -nan -nan -nan
-5.940887 -2.365465 -nan -nan -nan -nan -nan
-5.940887 -2.315848 -nan -nan -nan -nan -nan
-5.940887 -2.266297 -nan -nan -nan -nan -nan
-5.940887 -2.216811 -nan -nan -nan -nan -nan
-5.940887 -2.167387 -nan -nan -nan -nan -nan
-5.940887 -2.118024 -nan -nan -nan -nan -nan
-5.940887 -2.068722 -nan -nan -nan -nan -nan
-5.940887 -2.019479 -nan -nan -nan -nan -nan
-5.940887 -1.970293 -nan -nan -nan -nan -nan
-5.940887 -1.921164 -nan -nan -nan -nan -nan
-5.940887 -1.872090 -nan -nan -nan -nan -nan
-5.940887 -1.823070 -nan -nan -nan -nan -nan
-5.940887 -1.774102 -nan -nan -nan -nan -nan
-5.940887 -1.725185 -nan -nan -nan -nan -nan
-5.940887 -1.676318 -nan -nan -nan -nan -nan
-5.940887 -1.627500 -nan -nan -nan -nan -nan
-5.940887 -1.578728 -nan -nan -nan -nan -nan
-5.940887 -1.530002 -nan -nan -nan -nan -nan
-5.940887 -1.481320 -nan -nan -nan -nan -nan
-5.940887 -1.432681 -nan -nan -nan -nan -nan
-5.940887 -1.384084 -nan -nan -nan -nan -nan
-5.940887 -1.335526 -nan -nan -nan -nan -nan
-5.940887 -1.287008 -nan -nan -nan -nan -nan
-5.940887 -1.238527 -nan -nan -nan -nan -nan
-5.940887 -1.190081 -nan -nan -nan -nan -nan
-5.940887 -1.141671 -nan -nan -nan -nan -nan
-5.940887 -1.093293 -nan -nan -nan -nan -nan
-5.940887 -1.044948 -nan -nan -nan -nan -nan
-5.940887 -0.996632 -nan -nan -nan -nan -nan
-5.940887 -0.948346 -nan -nan -nan -nan -nan
-5.940887 -0.900086 -nan -nan -nan -nan -nan
-5.940887 -0.851853 -nan -nan -nan -nan -nan
-5.940887 -0.803645 -nan -nan -nan -nan -nan
-5.940887 -0.755460 -nan -nan -nan -nan -nan
-5.940887 -0.707296 -nan -nan -nan -nan -nan
-5.940887 -0.659153 -nan -nan -nan -nan -nan
-5.940887 -0.611029 -nan -nan -nan -nan -nan
-5.940887 -0.562922 -nan -nan -nan -nan -nan
-5.940887 -0.514831 -nan -nan -nan -nan -nan
-5.940887 -0.466755 -nan -nan -nan -nan -nan
-5.940887 -0.418692 -nan -nan -nan -nan -nan
